Category,Item Name,Price,Description,Spice Level (0-3),Dietary (V/VG/GF/H),Signature
"Breakfast","HALVA PURI (weekends only, served 10.00-15.00)","£9.99","Golden puri paired with silky semolina halva, Lahori-style channa, savoury potato bhujia, pickled onions and meethay.",,"",
"Breakfast","OMELETTE AND PARATHA","£7.99","A fluffy desi-style omelette with onions, tomatoes, green chillies and coriander, served with a warm, flaky paratha.",,"",
"Breakfast","CHEESE  OMELETTE AND PARATHA","£8.99","A fluffy desi-style omelette with melted cheese,onions, tomatoes, green chillies and coriander, served with a warm, flaky paratha.",,"",
"Breakfast","ALOO BHUJIA","£7.99","Soft potatoes cooked with onions, green chillies, and warm spices.",,"",
"Breakfast","RAAVI CHANNA MASALA","£9.99","Chickpeas cooked in a rich tomato and onion masala with warm, balanced spices, made using a unique Lahori recipe for authentic flavour.",2,"V, VG, GF",
"Breakfast","LAMB NIHARI","£14.99","Slow-cooked lamb in a rich, aromatic gravy, simmered to tender perfection with traditional spices.",2,"H, GF",Yes
"Breakfast","PAYA","£12.99","Slow-cooked trotters in a rich, spiced broth, full of traditional flavour.",2,"H, GF",
"Breakfast","HALVA","£4.99","Sweet semolina halva cooked in ghee with cardamon, garnished with nuts.",,"",
"Breakfast","MEETHAY POORAY","£6.99","Sweet semolina pancakes cooked in ghee and lightly flavoured with cardamon.",,"",
"Vegetarian Starters","LAHORI LADOO PITHI","£8.99","Classic savoury lentil dumplings, fried golden and served with a garnish of shredded white radish and our signature sauces.",,"V",Yes
"Vegetarian Starters","PUNJABI VEGETABLE SAMOSA","£4.50","Crispy homemade style pastry filled with a spiced potato and pea mix. Served with tamarind and mint chutneys.",,"V, VG",
"Vegetarian Starters","PAKORA (ONION BHAJI)","£4.50","Crispy, golden fritters made with seasonal vegetables in a spiced gram flour batter, cooked until perfectly crunchy and served hot with our signature chutneys.",,"V, VG, GF",
"Vegetarian Starters","GOL GAPPE (PANI PURI)","£4.99","Crunchy puris served with spiced chickpea-potato filling and tangy tamarind water.",,"V, VG",
"Vegetarian Starters","CHILLI PANEER","£8.99","Crispy paneer cubes tossed in a spicy sauce with peppers, onions, and green chillies, served on a sizzling hot plate.",2,"V",
"Vegetarian Starters","PANEER TIKKA","£9.99","BBQ paneer cubes marinated in yoghurt, lemon, and secret spices, then grilled over open flame with onions and peppers. Smoky, spicy, and packed with flavours.",1,"V, GF",
"Vegetarian Starters","PAPRI CHAAT","£8.99","A classic street-food favourite: crisp papri wafers topped with soft potatoes, chickpeas, whipped yoghurt and our signature tamarind sauce & mint chutneys.",,"V",
"Vegetarian Starters","SAMOSA  CHAAT","£8.99","Golden crispy Punjabi samosas crushed and topped with warm spiced chickpeas, whipped yoghurt and our signature tamarind sauce & mint chutneys, finished with onions, coriander and our special masala for the perfect mix of flavours.",,"V",
"Vegetarian Starters","CRISPY OKRA FRIES (Kurkuri Bhindi)","£9.99","Finely sliced okra coated in our secret spices with a lightly golden crunch. A delicate, flavour-packed appetiser with an irresistible crisp finish.",,"V, VG, GF",
"Non-Vegetarian Starters","BBQ LAMB SEEKH KEBAB","£5.99","Juicy minced lamb mixed with fresh coriander, green chillies, and our secret aromatic spices, grilled over real charcoal.",2,"H, GF",
"Non-Vegetarian Starters","BBQ CHICKEN SEEKH KEBAB","£4.99","Juicy minced chicken mixed with fresh coriander, green chillies, and our secret aromatic spices, grilled for a juicy, smoky finish.",1,"H, GF",
"Non-Vegetarian Starters","BBQ LAMB CHOPS","£11.99","Tender lamb chops marinated in a rich blend of yogurt, garlic, and our special herbs & spices, charcoal-grilled.",1,"H, GF",Yes
"Non-Vegetarian Starters","DUM KEBAB CHICKEN","£10.99","Juicy minced meat kebabs seasoned with our secret herbs & spices, shaped by hand and slow-cooked on a hot plate, garnished with caramelised onions & tomatoes.",1,"H, GF",
"Non-Vegetarian Starters","RAAVI BBQ CHICKEN WINGS","£7.99","Juicy wings marinated in a bold Raavi spice mix, then charcoal grilled for deep smoky flavour and a perfectly caramelised finish.",2,"H, GF",
"Non-Vegetarian Starters","MALAI CHICKEN BOTI","£11.99","Succulent creamy chicken cubes marinated in our secret spices, then charcoal grilled until melt-in-the-mouth tender.",0,"H, GF",
"Non-Vegetarian Starters","DYNAMITE PRAWNS","£12.99","Prawns marinated with Raavi secret herbs & spices, glazed with our Dynamite sauce.",2,"H, GF",
"Non-Vegetarian Starters","RAAVI SPECIAL CRISPY FISH","£9.99","Tender fish fillets coated in our Raavi spice blend and fried until perfectly crisp.",1,"H, GF",Yes
"Non-Vegetarian Starters","BBQ CHICKEN TIKKA","£9.99","Succulent chicken cubes marinated in a rich blend of yoghurt, herbs and aromatic spices, charcoal grilled to perfection.",2,"H, GF",
"Non-Vegetarian Starters","HARYALI BOTI","£11.99","Tender chicken pieces marinated in a vibrant green blend of herbs, yoghurt and spices, grilled for a flavour-packed finish.",1,"H, GF",
"Non-Vegetarian Starters","PESHAWARI CHAPLI KEBAB (beef)","£5.99","Bold, flavour-packed minced meat kebabs infused with tomatoes, green chillies, fresh herbs and roasted spices, shallow-fried for a signature crisp edge and juicy centre.",2,"H, GF",
"Non-Vegetarian Starters","RAAVI MIX GRILL BBQ SIZZLER FOR 2","£22.99","Chops, Kebabs, Wings, Chicken boti",2,"H, GF",
"Non-Vegetarian Starters","RAAVI MIX GRILL BBQ SIZZLER FOR 4","£44.99","Chops, Kebabs, Wings, Chicken boti",2,"H, GF",
"Chicken Dishes","BUTTER CHICKEN","£12.99","Tender chicken simmered in a silky tomato and buttery creamy sauce, enriched with aromatic spices.",0,"H, GF",Yes
"Chicken Dishes","CHICKEN TIKKA MASALA","£12.99","Tender chicken tikka simmered in a rich, creamy tomato masala sauce, bursting with aromatic spices.",1,"H, GF",
"Chicken Dishes","CHICKEN JALFREZI","£12.99","Juicy chicken pieces cooked with peppers, onions and tomatoes in a bold, tangy, medium-hot sauce.",,"",
"Chicken Dishes","PALAK CHICKEN","£12.99","Succulent chicken cooked in a velvety spinach sauce enriched with aromatic spices and a subtle depth of Lahori flavour.",1,"H, GF",
